OBJECTID_1,Join_Count,TARGET_FID,MA,IDNum,UTM_E,UTM_N,Stream_Ord,Reach,POINT_X,POINT_Y,Albers_X,Albers_Y,OBJECTID,Status2,PopGrp,sampled_X,sampled_Y,OBJECTID_12,ID,FID,MA_1,IDNum_1,Stream_Ord_1,UTM_E_1,UTM_N_1,Reach_1,Field8,SpawningYear,AUC_mi,Strahler,ChildNode,ParentNode,SegmentID,ChildNodeX,ChildNodeY,Population,Length_m,Length_km,join,NodeID,Node_WGSX,Node_WGSY
14,1,14,2-MC,2893.000000000000000,432023.341368000020000,4932325.891859999900000,1.000000000000000,Flynn Cr,-123.855506604999960,44.541098175000059,-2176918.953799999800000,2715973.561040000100000,,,,-123.855506604999960,44.541098175000059,1972,1245,1244,2-MC,2893,1,432023.341399999980000,4932325.892000000000000,Flynn Cr,,2012,70.886074019999995,0,10,14,10,-2176858.953799999800000,2715814.452399999800000,Alsea,1637.314933990000100,1.637314933990000,Alsea10,10,-123.857437669000010,44.551710071999999
15,1,15,2-MC,2894.000000000000000,431079.254468000030000,4930875.532060000100000,3.000000000000000,Horse Cr,-123.867302062999950,44.528350918000058,-2178224.653640000100000,2714884.452399999800000,,,,-123.867302062999950,44.528350918000058,1973,1246,1245,2-MC,2894,3,431079.254499999980000,4930875.531999999700000,Horse Cr,,1998,61.538463800000002,0,19,23,19,-2178178.953799999800000,2714854.452399999800000,Alsea,1098.822509939999900,1.098822509940000,Alsea19,19,-123.876358988000010,44.530623812999998
16,1,16,2-MC,2894.000000000000000,431079.254468000030000,4930875.532060000100000,3.000000000000000,Horse Cr,-123.867302062999950,44.528350918000058,-2178224.653640000100000,2714884.452399999800000,,,,-123.867302062999950,44.528350918000058,1974,1246,1245,2-MC,2894,3,431079.254499999980000,4930875.531999999700000,Horse Cr,,2007,36.363635580000000,0,19,23,19,-2178178.953799999800000,2714854.452399999800000,Alsea,1098.822509939999900,1.098822509940000,Alsea19,19,-123.876358988000010,44.530623812999998
17,1,17,2-MC,2896.000000000000000,430541.024860000000000,4932457.853570000300000,2.000000000000000,Deer Cr,-123.874939656999970,44.542182138000044,-2178358.953799999800000,2716534.452399999800000,,,,-123.874939656999970,44.542182138000044,1975,1247,1246,2-MC,2896,2,430541.024900000020000,4932457.854000000300000,Deer Cr,,2002,93.548386379999997,0,13,16,13,-2179048.953799999800000,2715694.452399999800000,Alsea,1643.086578650000100,1.643086578650000,Alsea13,13,-123.875384671000010,44.546025159000003
18,1,18,2-MC,2896.000000000000000,430541.024860000000000,4932457.853570000300000,2.000000000000000,Deer Cr,-123.874939656999970,44.542182138000044,-2178358.953799999800000,2716534.452399999800000,,,,-123.874939656999970,44.542182138000044,1976,1247,1246,2-MC,2896,2,430541.024900000020000,4932457.854000000300000,Deer Cr,,2011,103.225805700000000,0,13,16,13,-2179048.953799999800000,2715694.452399999800000,Alsea,1643.086578650000100,1.643086578650000,Alsea13,13,-123.875384671000010,44.546025159000003
19,1,19,2-MC,2897.000000000000000,429741.434057999980000,4931614.779290000000000,2.000000000000000,Horse Cr,-123.884282437999960,44.534294929000055,-2179322.107940000000000,2715907.606540000100000,,,,-123.884282437999960,44.534294929000055,1977,1248,1247,2-MC,2897,2,429741.434100000010000,4931614.779000000100000,Horse Cr,,2004,21.739130889999998,0,12,16,12,-2179048.953799999800000,2715694.452399999800000,Alsea,809.116882454000010,0.809116882454000,Alsea12,12,-123.889235803999990,44.534888037000002
20,1,20,2-MC,2899.000000000000000,429235.153498000000000,4931666.147640000100000,2.000000000000000,Horse Cr,-123.890729017999940,44.534809415000041,-2179794.819389999800000,2716110.317989999900000,,,,-123.890729017999940,44.534809415000041,1978,1249,1248,2-MC,2899,2,429235.153500000010000,4931666.148000000000000,Horse Cr,,2001,33.043478950000001,0,7,8,7,-2179768.953799999800000,2716084.452399999800000,Alsea,646.690475582999970,0.646690475583000,Alsea7,7,-123.897683744000010,44.536165453000002
21,1,21,2-MC,2899.000000000000000,429235.153498000000000,4931666.147640000100000,2.000000000000000,Horse Cr,-123.890729017999940,44.534809415000041,-2179794.819389999800000,2716110.317989999900000,,,,-123.890729017999940,44.534809415000041,1979,1249,1248,2-MC,2899,2,429235.153500000010000,4931666.148000000000000,Horse Cr,,2010,29.411764399999999,0,7,8,7,-2179768.953799999800000,2716084.452399999800000,Alsea,646.690475582999970,0.646690475583000,Alsea7,7,-123.897683744000010,44.536165453000002
22,1,22,2-MC,2901.000000000000000,432405.954288000010000,4929312.012819999800000,3.000000000000000,Drift Cr,-123.850178586999960,44.513801781000041,-2177392.962040000100000,2712940.444160000000000,,,,-123.850178586999960,44.513801781000041,1980,1250,1249,2-MC,2901,3,432405.954299999980000,4929312.013000000300000,Drift Cr,,2003,19.708029130000000,0,42,49,42,-2177488.953799999800000,2712724.452399999800000,Alsea,983.969696196999960,0.983969696197000,Alsea42,42,-123.844912515000000,44.517970996000003
23,1,23,2-MC,2902.000000000000000,434000.619637999970000,4930200.299920000100000,2.000000000000000,Cape Horn Cr,-123.830753430999950,44.521855023000057,-2175658.953799999800000,2713354.452399999800000,,,,-123.830753430999950,44.521855023000057,1981,1251,1250,2-MC,2902,2,434000.619599999980000,4930200.299999999800000,Cape Horn Cr,,2004,48.333331410000000,0,57,35,57,-2175748.953799999800000,2713444.452399999800000,Alsea,2015.512985520000000,2.015512985520000,Alsea57,57,-123.818676569999990,44.515727361000003
24,1,24,2-MC,2902.000000000000000,434000.619637999970000,4930200.299920000100000,2.000000000000000,Cape Horn Cr,-123.830753430999950,44.521855023000057,-2175658.953799999800000,2713354.452399999800000,,,,-123.830753430999950,44.521855023000057,1982,1251,1250,2-MC,2902,2,434000.619599999980000,4930200.299999999800000,Cape Horn Cr,,2013,26.666665609999999,0,57,35,57,-2175748.953799999800000,2713444.452399999800000,Alsea,2015.512985520000000,2.015512985520000,Alsea57,57,-123.818676569999990,44.515727361000003
25,1,25,2-MC,2908.000000000000000,437631.495974000020000,4930124.150329999600000,1.000000000000000,Gopher Cr,-123.784808322999990,44.521583245000045,-2172178.953799999800000,2712274.452399999800000,,,,-123.784808322999990,44.521583245000045,1983,1252,1251,2-MC,2908,1,437631.495999999980000,4930124.150000000400000,Gopher Cr,,2014,17.777778250000001,0,66,38,66,-2172478.953799999800000,2712874.452399999800000,Alsea,1730.954544300000000,1.730954544300000,Alsea66,66,-123.780025330000000,44.521483087999997
26,1,26,2-MC,2912.000000000000000,435829.758110000000000,4928246.871530000100000,1.000000000000000,Nettle Cr,-123.807535297999950,44.504335958000070,-2174458.953799999800000,2710954.452399999800000,,,,-123.807535297999950,44.504335958000070,1984,1253,1252,2-MC,2912,1,435829.758099999980000,4928246.872000000400000,Nettle Cr,,1998,7.894736941000000,0,109,85,109,-2175478.953799999800000,2711434.452399999800000,Alsea,1805.512985520000000,1.805512985520000,Alsea109,109,-123.802387029000000,44.501502770000002
27,1,27,2-MC,2912.000000000000000,435829.758110000000000,4928246.871530000100000,1.000000000000000,Nettle Cr,-123.807535297999950,44.504335958000070,-2174458.953799999800000,2710954.452399999800000,,,,-123.807535297999950,44.504335958000070,1985,1253,1252,2-MC,2912,1,435829.758099999980000,4928246.872000000400000,Nettle Cr,,2007,23.749999649999999,0,109,85,109,-2175478.953799999800000,2711434.452399999800000,Alsea,1805.512985520000000,1.805512985520000,Alsea109,109,-123.802387029000000,44.501502770000002
28,1,28,2-MC,2914.000000000000000,435657.752872999990000,4926153.560540000000000,3.000000000000000,Drift Cr,-123.809072289999960,44.485794839000050,-2175171.535500000200000,2709011.870699999900000,,,,-123.809072289999960,44.485794839000050,1986,1254,1253,2-MC,2914,3,435657.752900000020000,4926153.560999999800000,Drift Cr,,2006,4.123711219000000,0,171,169,171,-2175148.953799999800000,2709034.452399999800000,Alsea,42.426406871200001,0.042426406871200,Alsea171,171,-123.809134840000000,44.485711873000000
29,1,29,2-MC,2915.000000000000000,435272.392337000000000,4927276.674429999700000,3.000000000000000,Drift Cr,-123.814543181999970,44.495776558000045,-2175266.329680000000000,2710201.828280000000000,,,,-123.814543181999970,44.495776558000045,1987,1255,1254,2-MC,2915,3,435272.392300000010000,4927276.673999999600000,Drift Cr,,2004,28.461539510000001,0,124,102,124,-2175328.953799999800000,2710654.452399999800000,Alsea,692.132034355999960,0.692132034356000,Alsea124,124,-123.813567725000000,44.494322981000003
30,1,30,2-MC,2915.000000000000000,435272.392337000000000,4927276.674429999700000,3.000000000000000,Drift Cr,-123.814543181999970,44.495776558000045,-2175266.329680000000000,2710201.828280000000000,,,,-123.814543181999970,44.495776558000045,1988,1255,1254,2-MC,2915,3,435272.392300000010000,4927276.673999999600000,Drift Cr,,2013,48.461540239999998,0,124,102,124,-2175328.953799999800000,2710654.452399999800000,Alsea,692.132034355999960,0.692132034356000,Alsea124,124,-123.813567725000000,44.494322981000003
31,1,31,2-MC,2921.000000000000000,421084.088893999990000,4917467.919099999600000,2.000000000000000,Darkey Cr (Southworth Cr),-123.990956941999970,44.406238622000046,-2191558.953799999800000,2704706.061309999800000,,,,-123.990956941999970,44.406238622000046,1989,1256,1255,2-MC,2921,2,421084.088899999970000,4917467.918999999800000,Darkey Cr (Southworth Cr),,2001,9.782608518000000,0,428,341,428,-2191078.953799999800000,2705404.452399999800000,Alsea,1773.380951169999900,1.773380951170000,Alsea428,428,-123.990666934999990,44.399064860999999
32,1,32,2-MC,2921.000000000000000,421084.088893999990000,4917467.919099999600000,2.000000000000000,Darkey Cr (Southworth Cr),-123.990956941999970,44.406238622000046,-2191558.953799999800000,2704706.061309999800000,,,,-123.990956941999970,44.406238622000046,1990,1256,1255,2-MC,2921,2,421084.088899999970000,4917467.918999999800000,Darkey Cr (Southworth Cr),,2010,5.434782510000000,0,428,341,428,-2191078.953799999800000,2705404.452399999800000,Alsea,1773.380951169999900,1.773380951170000,Alsea428,428,-123.990666934999990,44.399064860999999
33,1,33,2-MC,2923.000000000000000,423922.002050000010000,4916515.310119999600000,2.000000000000000,Sudan Cr,-123.955226841999950,44.398074099000041,-2189106.438750000200000,2703011.937349999800000,,,,-123.955226841999950,44.398074099000041,1991,1257,1256,2-MC,2923,2,423922.002099999980000,4916515.309999999600000,Sudan Cr,,2001,10.427528770000000,0,528,521,528,-2188768.953799999800000,2702944.452399999800000,Alsea,609.411254969999960,0.609411254970000,Alsea528,528,-123.957277645999990,44.397560902000002
34,1,34,2-MC,2929.000000000000000,424316.634038000020000,4916199.647020000000000,2.000000000000000,Arnold Cr,-123.950557360999990,44.395217442000046,-2188843.663790000100000,2702599.742409999900000,,,,-123.950557360999990,44.395217442000046,1992,1258,1257,2-MC,2929,2,424316.634000000020000,4916199.646999999900000,Arnold Cr,,1999,0.000000000000000,0,572,521,572,-2188768.953799999800000,2702944.452399999800000,Alsea,754.264068712000040,0.754264068712000,Alsea572,572,-123.951507445000000,44.392337052999999
35,1,35,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1993,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,1998,5.813953392000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
36,1,36,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1994,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,1999,2.325581357000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
37,1,37,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1995,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2000,0.000000000000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
38,1,38,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1996,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2001,9.302325427000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
39,1,39,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1997,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2002,2.325581357000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
40,1,40,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1998,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2003,27.906976279999999,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
41,1,41,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,1999,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2004,0.000000000000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
42,1,42,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2000,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2005,13.953488139999999,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
43,1,43,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2001,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2006,4.651162713000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
44,1,44,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2002,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2007,2.325581357000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
45,1,45,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2003,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2008,17.441860170000002,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
46,1,46,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2004,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2009,40.697673739999999,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
47,1,47,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2005,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2010,32.558138990000003,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
48,1,48,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2006,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2011,27.906976279999999,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
49,1,49,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2007,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2012,13.953488139999999,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
50,1,50,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2008,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2013,12.790697460000001,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
51,1,51,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2009,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2014,49.999999170000002,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
52,1,52,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2010,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2016,15.116278820000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
53,1,53,2-MC,2934.000000000000000,424195.516733000000000,4913732.150229999800000,2.000000000000000,Bear Cr,-123.951499038999940,44.372928754000043,-2189635.277559999800000,2700244.452399999800000,,,,-123.951499038999940,44.372928754000043,2011,1259,1258,2-MC,2934,2,424195.516699999980000,4913732.150000000400000,Bear Cr,,2017,5.813953392000000,0,716,705,716,-2188138.953799999800000,2700424.452399999800000,Alsea,2445.807358040000100,2.445807358040000,Alsea716,716,-123.960037966000000,44.372490171999999
54,1,54,2-MC,2940.000000000000000,425473.703933999990000,4912724.527970000200000,1.000000000000000,Skinner Cr,-123.935262508999980,44.363956213000051,-2188689.908400000100000,2698913.497800000000000,,,,-123.935262508999980,44.363956213000051,2012,1260,1259,2-MC,2940,1,425473.703900000020000,4912724.527999999900000,Skinner Cr,,2001,4.938271590000000,0,877,780,877,-2188138.953799999800000,2699074.452399999800000,Alsea,2923.416664540000100,2.923416664540000,Alsea877,877,-123.945031076000010,44.346900433999998
