OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,IDNum,SiteStatus,UTMe,UTMn,POINT_X,POINT_Y,Albers_X,Albers_Y,sampled_X,sampled_Y,Strahler,ChildNode,ParentNode,SegmentID,ChildNodeX,ChildNodeY,Population,Length_m,Length_km,join,NodeID,Node_WGSX,Node_WGSY,OBJECTID_12,FID,IDNum_1,OBJECTID_12_13,SiteStatus_1,UTMe_1,ID,UTMn_1,Year_,CohoPerKilometer
23,1,15,431,2953.000000000000000,Snorkeled,437058.833038999990000,4919491.736970000000000,-123.790635376999940,44.426073178000081,-2175688.953799999800000,2702218.698210000100000,-123.790635376999940,44.426073178000081,0,591,599,591,-2175688.953799999800000,2702104.452399999800000,Alsea,992.132034355999960,0.992132034356000,Alsea591,591,-123.792511618000010,44.433316660000003,213,430,2953,431,Snorkeled,437058.832999999980000,431,4919491.736999999700000,1998,0
24,1,15,431,2953.000000000000000,Snorkeled,437058.833038999990000,4919491.736970000000000,-123.790635376999940,44.426073178000081,-2175688.953799999800000,2702218.698210000100000,-123.790635376999940,44.426073178000081,0,591,599,591,-2175688.953799999800000,2702104.452399999800000,Alsea,992.132034355999960,0.992132034356000,Alsea591,591,-123.792511618000010,44.433316660000003,214,430,2953,431,Snorkeled,437058.832999999980000,431,4919491.736999999700000,2007,0
25,1,16,432,2963.000000000000000,Snorkeled,431851.439129000010000,4914683.396979999700000,-123.855586119999940,44.382361000000060,-2182034.870999999800000,2699044.452399999800000,-123.855586119999940,44.382361000000060,0,815,816,815,-2180368.953799999800000,2698474.452399999800000,Alsea,2930.071426749999800,2.930071426750000,Alsea815,815,-123.866747969000000,44.382207874999999,215,431,2963,432,Snorkeled,431851.439100000020000,432,4914683.396999999900000,2007,0
26,1,17,433,2969.000000000000000,Snorkeled,429744.193996999990000,4909689.274500000300000,-123.881162633999960,44.337107387000060,-2185438.953799999800000,2694804.568800000000000,-123.881162633999960,44.337107387000060,0,1068,1078,1068,-2184718.953799999800000,2694304.452399999800000,Alsea,1197.609306500000000,1.197609306500000,Alsea1068,1068,-123.880895772000000,44.338804252999999,216,432,2969,433,Snorkeled,429744.194000000020000,433,4909689.275000000400000,2002,0
27,1,18,434,2970.000000000000000,Snorkeled,437884.483078000020000,4911812.768989999800000,-123.779720797999970,44.356667005000077,-2177087.613470000200000,2694563.112069999800000,-123.779720797999970,44.356667005000077,0,1104,1052,1104,-2177158.953799999800000,2694634.452399999800000,Alsea,1561.873375220000100,1.561873375220000,Alsea1104,1104,-123.767984871000000,44.353247953000000,2880,433,2970,434,Snorkeled,437884.483100000010000,434,4911812.769000000300000,2006,3
28,1,19,435,2985.000000000000000,Snorkeled,439459.002867000000000,4903907.197139999800000,-123.759448047999970,44.285788905000061,-2177818.953799999800000,2686534.452399999800000,-123.759448047999970,44.285788905000061,0,1506,1491,1506,-2177848.953799999800000,2686834.452399999800000,Alsea,414.852813742000020,0.414852813742000,Alsea1506,1506,-123.758761374000000,44.285093107000002,5738,434,2985,435,Snorkeled,439459.002900000020000,435,4903907.196999999700000,2010,452
29,1,19,435,2985.000000000000000,Snorkeled,439459.002867000000000,4903907.197139999800000,-123.759448047999970,44.285788905000061,-2177818.953799999800000,2686534.452399999800000,-123.759448047999970,44.285788905000061,0,1506,1491,1506,-2177848.953799999800000,2686834.452399999800000,Alsea,414.852813742000020,0.414852813742000,Alsea1506,1506,-123.758761374000000,44.285093107000002,6075,434,2985,435,Snorkeled,439459.002900000020000,435,4903907.196999999700000,2001,625
30,1,20,436,2986.000000000000000,Snorkeled,439103.293440999990000,4907300.743429999800000,-123.763628589999940,44.316415135000057,-2177154.494250000000000,2689898.911950000100000,-123.763628589999940,44.316415135000057,0,1322,1321,1322,-2177188.953799999800000,2689864.452399999800000,Alsea,724.264068712000040,0.724264068712000,Alsea1322,1322,-123.757564004000000,44.319642686000002,3180,435,2986,436,Snorkeled,439103.293400000020000,436,4907300.742999999800000,2001,10
31,1,21,437,2989.000000000000000,Snorkeled,443332.451199000000000,4906318.924829999900000,-123.710309151999980,44.308413817000030,-2173348.953799999800000,2687824.452399999800000,-123.710309151999980,44.308413817000030,0,1435,1428,1435,-2173558.953799999800000,2687914.452399999800000,Alsea,332.132034356000020,0.332132034356000,Alsea1435,1435,-123.709369971000000,44.308052934999999,3719,436,2989,437,Snorkeled,443332.451200000010000,437,4906318.924999999800000,1999,40
32,1,21,437,2989.000000000000000,Snorkeled,443332.451199000000000,4906318.924829999900000,-123.710309151999980,44.308413817000030,-2173348.953799999800000,2687824.452399999800000,-123.710309151999980,44.308413817000030,0,1435,1428,1435,-2173558.953799999800000,2687914.452399999800000,Alsea,332.132034356000020,0.332132034356000,Alsea1435,1435,-123.709369971000000,44.308052934999999,5210,436,2989,437,Snorkeled,443332.451200000010000,437,4906318.924999999800000,2005,284
33,1,21,437,2989.000000000000000,Snorkeled,443332.451199000000000,4906318.924829999900000,-123.710309151999980,44.308413817000030,-2173348.953799999800000,2687824.452399999800000,-123.710309151999980,44.308413817000030,0,1435,1428,1435,-2173558.953799999800000,2687914.452399999800000,Alsea,332.132034356000020,0.332132034356000,Alsea1435,1435,-123.709369971000000,44.308052934999999,5224,436,2989,437,Snorkeled,443332.451200000010000,437,4906318.924999999800000,2002,287
34,1,21,437,2989.000000000000000,Snorkeled,443332.451199000000000,4906318.924829999900000,-123.710309151999980,44.308413817000030,-2173348.953799999800000,2687824.452399999800000,-123.710309151999980,44.308413817000030,0,1435,1428,1435,-2173558.953799999800000,2687914.452399999800000,Alsea,332.132034356000020,0.332132034356000,Alsea1435,1435,-123.709369971000000,44.308052934999999,5901,436,2989,437,Snorkeled,443332.451200000010000,437,4906318.924999999800000,2011,522
35,1,21,437,2989.000000000000000,Snorkeled,443332.451199000000000,4906318.924829999900000,-123.710309151999980,44.308413817000030,-2173348.953799999800000,2687824.452399999800000,-123.710309151999980,44.308413817000030,0,1435,1428,1435,-2173558.953799999800000,2687914.452399999800000,Alsea,332.132034356000020,0.332132034356000,Alsea1435,1435,-123.709369971000000,44.308052934999999,6150,436,2989,437,Snorkeled,443332.451200000010000,437,4906318.924999999800000,2017,676
36,1,22,438,3002.000000000000000,Snorkeled,442355.031892000000000,4902855.943300000400000,-123.722186634999960,44.276593443000081,-2175273.868880000000000,2684699.537320000100000,-123.722186634999960,44.276593443000081,0,1638,1606,1638,-2174998.953799999800000,2685154.452399999800000,Alsea,876.396103068000000,0.876396103068000,Alsea1638,1638,-123.723191429000000,44.274456745999998,5726,437,3002,438,Snorkeled,442355.031900000000000,438,4902855.943000000000000,2005,449
37,1,23,439,3009.000000000000000,Snorkeled,445799.701706999970000,4903130.690750000100000,-123.679230363999980,44.279411800000048,-2171908.953799999800000,2684017.913999999900000,-123.679230363999980,44.279411800000048,0,1712,1649,1712,-2171818.953799999800000,2684374.452399999800000,Alsea,844.705627485000040,0.844705627485000,Alsea1712,1712,-123.678009499000000,44.275566204999997,3530,438,3009,439,Snorkeled,445799.701699999980000,439,4903130.690999999600000,2004,27
38,1,23,439,3009.000000000000000,Snorkeled,445799.701706999970000,4903130.690750000100000,-123.679230363999980,44.279411800000048,-2171908.953799999800000,2684017.913999999900000,-123.679230363999980,44.279411800000048,0,1712,1649,1712,-2171818.953799999800000,2684374.452399999800000,Alsea,844.705627485000040,0.844705627485000,Alsea1712,1712,-123.678009499000000,44.275566204999997,3907,438,3009,439,Snorkeled,445799.701699999980000,439,4903130.690999999600000,2013,55
39,1,24,440,3021.000000000000000,Snorkeled,449007.194116000030000,4900543.145549999500000,-123.639306064999970,44.256451065000078,-2169598.953799999800000,2680654.452349999900000,-123.639306064999970,44.256451065000078,0,1874,1848,1874,-2169508.953799999800000,2680864.452399999800000,Alsea,1116.396103070000000,1.116396103070000,Alsea1874,1874,-123.638156843000000,44.249953926000003,6920,439,3021,440,Snorkeled,449007.194100000020000,440,4900543.145999999700000,2006,3419
40,1,25,441,3022.000000000000000,Snorkeled,448160.250483000010000,4901168.855089999700000,-123.649445969999990,44.261868688000050,-2170199.105500000100000,2681464.452399999800000,-123.649445969999990,44.261868688000050,0,1834,1802,1834,-2170438.953799999800000,2682154.452399999800000,Alsea,1835.512985520000000,1.835512985520000,Alsea1834,1834,-123.640674022000000,44.260653892000001,6758,440,3022,441,Snorkeled,448160.250500000020000,441,4901168.855000000400000,2002,1549
41,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,217,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,1998,0
42,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,218,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,2001,0
43,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,4198,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,2010,89
44,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,5331,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,2016,312
45,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,5705,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,2004,443
46,1,26,442,3030.000000000000000,Snorkeled,451425.168718000000000,4900176.720470000100000,-123.608455361999970,44.253205998000055,-2167349.429899999900000,2679603.976300000200000,-123.608455361999970,44.253205998000055,0,1885,1880,1885,-2167738.953799999800000,2679634.452399999800000,Alsea,632.132034355999960,0.632132034356000,Alsea1885,1885,-123.606069433000000,44.253158128000003,5964,441,3030,442,Snorkeled,451425.168699999980000,442,4900176.719999999700000,2013,553
47,1,27,443,3034.000000000000000,Snorkeled,431338.556469000000000,4907549.670380000000000,-123.860987549999950,44.318012720000070,-2184518.096169999800000,2692303.594769999900000,-123.860987549999950,44.318012720000070,0,1196,1197,1196,-2183368.953799999800000,2692174.452399999800000,Alsea,1856.101730550000000,1.856101730550000,Alsea1196,1196,-123.865872063000000,44.320530030999997,5650,442,3034,443,Snorkeled,431338.556500000010000,443,4907549.669999999900000,2005,421
48,1,28,444,3036.000000000000000,Snorkeled,430603.755125000030000,4908000.255250000400000,-123.870355013999980,44.321813501000065,-2185108.953799999800000,2692924.452399999800000,-123.870355013999980,44.321813501000065,0,1150,1161,1150,-2185048.953799999800000,2692774.452399999800000,Alsea,247.279220614000000,0.247279220614000,Alsea1150,1150,-123.870934164999990,44.322251078000001,219,443,3036,444,Snorkeled,430603.755100000010000,444,4908000.254999999900000,1998,0
49,1,28,444,3036.000000000000000,Snorkeled,430603.755125000030000,4908000.255250000400000,-123.870355013999980,44.321813501000065,-2185108.953799999800000,2692924.452399999800000,-123.870355013999980,44.321813501000065,0,1150,1161,1150,-2185048.953799999800000,2692774.452399999800000,Alsea,247.279220614000000,0.247279220614000,Alsea1150,1150,-123.870934164999990,44.322251078000001,5660,443,3036,444,Snorkeled,430603.755100000010000,444,4908000.254999999900000,2016,425
50,1,28,444,3036.000000000000000,Snorkeled,430603.755125000030000,4908000.255250000400000,-123.870355013999980,44.321813501000065,-2185108.953799999800000,2692924.452399999800000,-123.870355013999980,44.321813501000065,0,1150,1161,1150,-2185048.953799999800000,2692774.452399999800000,Alsea,247.279220614000000,0.247279220614000,Alsea1150,1150,-123.870934164999990,44.322251078000001,5678,443,3036,444,Snorkeled,430603.755100000010000,444,4908000.254999999900000,2007,430
51,1,29,445,3057.000000000000000,Snorkeled,428516.985856999990000,4901009.929039999800000,-123.894701426999970,44.258355408000057,-2189008.953799999800000,2686714.452399999800000,-123.894701426999970,44.258355408000057,0,1499,1487,1499,-2188918.953799999800000,2686894.452399999800000,Alsea,476.984848097999990,0.476984848098000,Alsea1499,1499,-123.896790235000000,44.256779690999998,6731,444,3057,445,Snorkeled,428516.985900000030000,445,4901009.928999999500000,2002,1441
52,1,30,446,3067.000000000000000,Snorkeled,432107.629636000030000,4901234.476569999900000,-123.850529715999980,44.261135697000043,-2185552.990000000200000,2685994.452399999800000,-123.850529715999980,44.261135697000043,0,1540,1541,1540,-2185288.953799999800000,2685964.452399999800000,Alsea,342.426406870999980,0.342426406871000,Alsea1540,1540,-123.851322982000000,44.260964727000001,6392,445,3067,446,Snorkeled,432107.629599999990000,446,4901234.477000000000000,2000,880
53,1,30,446,3067.000000000000000,Snorkeled,432107.629636000030000,4901234.476569999900000,-123.850529715999980,44.261135697000043,-2185552.990000000200000,2685994.452399999800000,-123.850529715999980,44.261135697000043,0,1540,1541,1540,-2185288.953799999800000,2685964.452399999800000,Alsea,342.426406870999980,0.342426406871000,Alsea1540,1540,-123.851322982000000,44.260964727000001,6463,445,3067,446,Snorkeled,432107.629599999990000,446,4901234.477000000000000,2009,946
54,1,31,447,3069.000000000000000,Snorkeled,433450.531079999990000,4901535.871770000100000,-123.833896132999940,44.264438283000061,-2184178.953799999800000,2685964.452399999800000,-123.833896132999940,44.264438283000061,0,1556,1530,1556,-2183338.953799999800000,2686114.452399999800000,Alsea,2183.086578649999900,2.183086578650000,Alsea1556,1556,-123.844828939000000,44.262364208000001,6260,446,3069,447,Snorkeled,433450.531100000020000,447,4901535.872000000400000,2000,765
55,1,32,448,3073.000000000000000,Snorkeled,434222.116816000020000,4904026.068500000100000,-123.824399130999950,44.286443607000081,-2182747.252599999800000,2688094.452399999800000,-123.824399130999950,44.286443607000081,0,1424,1423,1424,-2182948.953799999800000,2687974.452399999800000,Alsea,1570.660171779999900,1.570660171780000,Alsea1424,1424,-123.813297410999990,44.293049539999998,3861,447,3073,448,Snorkeled,434222.116800000020000,448,4904026.069000000100000,2000,52
56,1,32,448,3073.000000000000000,Snorkeled,434222.116816000020000,4904026.068500000100000,-123.824399130999950,44.286443607000081,-2182747.252599999800000,2688094.452399999800000,-123.824399130999950,44.286443607000081,0,1424,1423,1424,-2182948.953799999800000,2687974.452399999800000,Alsea,1570.660171779999900,1.570660171780000,Alsea1424,1424,-123.813297410999990,44.293049539999998,4460,447,3073,448,Snorkeled,434222.116800000020000,448,4904026.069000000100000,2009,127
57,1,33,449,3074.000000000000000,Snorkeled,434461.590100999980000,4903627.526929999700000,-123.821584544999950,44.282832390000067,-2182648.953799999800000,2687644.452399999800000,-123.821584544999950,44.282832390000067,0,1484,1423,1484,-2182948.953799999800000,2687974.452399999800000,Alsea,3871.614716070000200,3.871614716070000,Alsea1484,1484,-123.801289104000010,44.280451972999998,3461,448,3074,449,Snorkeled,434461.590099999970000,449,4903627.526999999800000,1998,23
58,1,33,449,3074.000000000000000,Snorkeled,434461.590100999980000,4903627.526929999700000,-123.821584544999950,44.282832390000067,-2182648.953799999800000,2687644.452399999800000,-123.821584544999950,44.282832390000067,0,1484,1423,1484,-2182948.953799999800000,2687974.452399999800000,Alsea,3871.614716070000200,3.871614716070000,Alsea1484,1484,-123.801289104000010,44.280451972999998,4199,448,3074,449,Snorkeled,434461.590099999970000,449,4903627.526999999800000,2001,89
59,1,33,449,3074.000000000000000,Snorkeled,434461.590100999980000,4903627.526929999700000,-123.821584544999950,44.282832390000067,-2182648.953799999800000,2687644.452399999800000,-123.821584544999950,44.282832390000067,0,1484,1423,1484,-2182948.953799999800000,2687974.452399999800000,Alsea,3871.614716070000200,3.871614716070000,Alsea1484,1484,-123.801289104000010,44.280451972999998,4276,448,3074,449,Snorkeled,434461.590099999970000,449,4903627.526999999800000,2006,101
60,1,33,449,3074.000000000000000,Snorkeled,434461.590100999980000,4903627.526929999700000,-123.821584544999950,44.282832390000067,-2182648.953799999800000,2687644.452399999800000,-123.821584544999950,44.282832390000067,0,1484,1423,1484,-2182948.953799999800000,2687974.452399999800000,Alsea,3871.614716070000200,3.871614716070000,Alsea1484,1484,-123.801289104000010,44.280451972999998,4291,448,3074,449,Snorkeled,434461.590099999970000,449,4903627.526999999800000,2005,104
61,1,33,449,3074.000000000000000,Snorkeled,434461.590100999980000,4903627.526929999700000,-123.821584544999950,44.282832390000067,-2182648.953799999800000,2687644.452399999800000,-123.821584544999950,44.282832390000067,0,1484,1423,1484,-2182948.953799999800000,2687974.452399999800000,Alsea,3871.614716070000200,3.871614716070000,Alsea1484,1484,-123.801289104000010,44.280451972999998,4972,448,3074,449,Snorkeled,434461.590099999970000,449,4903627.526999999800000,2014,227
